UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jul03 ?        00:01:04 /usr/lib/systemd/systemd --switched-root --system --deserialize 21
root         2     0  0 Jul03 ?        00:00:00 [kthreadd]
root         3     2  0 Jul03 ?        00:00:08 [ksoftirqd/0]
root         7     2  0 Jul03 ?        00:00:00 [migration/0]
root         8     2  0 Jul03 ?        00:00:00 [rcu_bh]
root         9     2  0 Jul03 ?        00:00:37 [rcu_sched]
root        10     2  0 Jul03 ?        00:00:31 [watchdog/0]
root        12     2  0 Jul03 ?        00:00:00 [kdevtmpfs]
root        13     2  0 Jul03 ?        00:00:00 [netns]
root        14     2  0 Jul03 ?        00:00:02 [khungtaskd]
root        15     2  0 Jul03 ?        00:00:00 [writeback]
root        16     2  0 Jul03 ?        00:00:00 [kintegrityd]
root        17     2  0 Jul03 ?        00:00:00 [bioset]
root        18     2  0 Jul03 ?        00:00:00 [kblockd]
root        19     2  0 Jul03 ?        00:00:00 [md]
root        25     2  0 Jul03 ?        00:00:14 [kswapd0]
root        26     2  0 Jul03 ?        00:00:00 [ksmd]
root        27     2  0 Jul03 ?        00:00:35 [khugepaged]
root        28     2  0 Jul03 ?        00:00:00 [fsnotify_mark]
root        29     2  0 Jul03 ?        00:00:00 [crypto]
root        37     2  0 Jul03 ?        00:00:00 [kthrotld]
root        39     2  0 Jul03 ?        00:00:00 [kmpath_rdacd]
root        40     2  0 Jul03 ?        00:00:00 [kpsmoused]
root        42     2  0 Jul03 ?        00:00:00 [ipv6_addrconf]
root        61     2  0 Jul03 ?        00:00:00 [deferwq]
root        96     2  0 Jul03 ?        00:00:02 [kauditd]
root       128     2  0 Jul03 ?        00:00:00 [virtscsi-scan]
root       130     2  0 Jul03 ?        00:00:00 [scsi_eh_0]
root       132     2  0 Jul03 ?        00:00:00 [scsi_tmf_0]
root       161     2  0 Jul03 ?        00:00:00 [xfsalloc]
root       162     2  0 Jul03 ?        00:00:00 [xfs_mru_cache]
root       163     2  0 Jul03 ?        00:00:00 [xfs-buf/sda1]
root       164     2  0 Jul03 ?        00:00:00 [xfs-data/sda1]
root       165     2  0 Jul03 ?        00:00:00 [xfs-conv/sda1]
root       166     2  0 Jul03 ?        00:00:00 [xfs-cil/sda1]
root       167     2  0 Jul03 ?        00:00:00 [xfs-reclaim/sda]
root       168     2  0 Jul03 ?        00:00:00 [xfs-log/sda1]
root       169     2  0 Jul03 ?        00:00:00 [xfs-eofblocks/s]
root       170     2  0 Jul03 ?        00:12:31 [xfsaild/sda1]
root       222     1  0 Jul03 ?        00:01:09 /usr/lib/systemd/systemd-journald
root       241     1  0 Jul03 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root       251     1  0 Jul03 ?        00:00:18 /sbin/auditd -n
avahi      295     1  0 Jul03 ?        00:00:00 avahi-daemon: running [linux.local]
root       297     1  0 Jul03 ?        00:00:17 /usr/lib/systemd/systemd-logind
polkitd    298     1  0 Jul03 ?        00:00:02 /usr/lib/polkit-1/polkitd --no-debug
dbus       305     1  0 Jul03 ?        00:00:09 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root       309     1  0 Jul03 ?        00:00:00 /usr/sbin/acpid
avahi      316   295  0 Jul03 ?        00:00:00 avahi-daemon: chroot helper
root       386     1  0 Jul03 ?        00:00:15 /usr/sbin/crond -n
root       393     1  0 Jul03 ttyS0    00:00:00 /sbin/agetty --keep-baud 115200 38400 9600 ttyS0 vt220
root       395     1  0 Jul03 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       400     1  0 Jul03 ?        00:01:51 /usr/bin/python -Es /usr/sbin/firewalld --nofork --nopid
root       421     1  0 Jul03 ?        00:00:05 /usr/sbin/NetworkManager --no-daemon
root       532   421  0 Jul03 ?        00:00:00 /sbin/dhclient -d -q -sf /usr/libexec/nm-dhcp-helper -pf /var/run/dhclient-eth0.pid -lf /var/lib/NetworkManager/dhclient-f7789298-eb62-4cd8-983a-733cc559c06e-eth0.lease -cf /var/lib/NetworkManager/dhclient-eth0.conf eth0
ntp        590     1  0 Jul03 ?        00:00:10 /usr/sbin/ntpd -u ntp:ntp -g
root       748     1  0 Jul03 ?        00:00:19 /usr/sbin/rsyslogd -n
root       749     1  0 Jul03 ?        00:10:31 /usr/bin/python -Es /usr/sbin/tuned -l -P
root       870     1  0 Jul03 ?        00:00:29 /usr/libexec/postfix/master -w
root       884     1  0 Jul03 ?        00:00:36 /usr/sbin/sshd -D
postfix    887   870  0 Jul03 ?        00:00:04 qmgr -l -t unix -u
root       888     1  0 Jul03 ?        00:03:57 /usr/bin/python /usr/bin/google_ip_forwarding_daemon
root       891     1  0 Jul03 ?        00:06:17 /usr/bin/python /usr/bin/google_accounts_daemon
root       892     1  0 Jul03 ?        00:02:31 /usr/bin/python /usr/bin/google_clock_skew_daemon
root      8332     2  0 06:03 ?        00:00:00 [kworker/0:2]
root      8548     2  0 07:15 ?        00:00:00 [kworker/0:0]
postfix   8641   870  0 07:57 ?        00:00:00 pickup -l -t unix -u
root      8647   884  0 07:59 ?        00:00:00 sshd: manognareddi [priv]
manogna+  8650  8647  0 07:59 ?        00:00:00 sshd: manognareddi@pts/0
manogna+  8651  8650  0 07:59 pts/0    00:00:00 -bash
manogna+  8652  8650  0 07:59 ?        00:00:00 /usr/libexec/openssh/sftp-server
root      8755     2  0 08:05 ?        00:00:00 [kworker/0:1]
manogna+  8774  8651  0 08:08 pts/0    00:00:00 -bash
manogna+  8775  8774  0 08:08 pts/0    00:00:00 ps -ef
jenkins  11636     1  0 Aug15 ?        00:12:33 /etc/alternatives/java -Dcom.sun.akuma.Daemon=daemonized -Djava.awt.headless=true -DJENKINS_HOME=/var/lib/jenkins -jar /usr/lib/jenkins/jenkins.war --logfile=/var/log/jenkins/jenkins.log --webroot=/var/cache/jenkins/war --daemon --httpPort=8080 --debug=5 --handlerCountMax=100 --handlerCountMaxIdle=20
root     11962     2  0 Aug15 ?        00:00:00 [kworker/0:0H]
manogna+ 14098     1  0 Aug15 ?        00:07:54 /home/manognareddi/nexus-2.14.5-02/bin/../bin/jsw/linux-x86-64/wrapper /home/manognareddi/nexus-2.14.5-02/bin/../bin/jsw/conf/wrapper.conf wrapper.syslog.ident=nexus wrapper.pidfile=/home/manognareddi/nexus-2.14.5-02/bin/../bin/jsw/linux-x86-64/nexus.pid wrapper.daemonize=TRUE
manogna+ 14100 14098  0 Aug15 ?        00:44:38 java -XX:MaxPermSize=192m -Djava.io.tmpdir=./tmp -Djava.net.preferIPv4Stack=true -Dcom.sun.jndi.ldap.connect.pool.protocol=plain ssl -Xms256m -Xmx768m -Djava.library.path=bin/jsw/lib -classpath bin/jsw/lib/wrapper-3.2.3.jar:./lib/jetty-client-8.1.16.v20140903.jar:./lib/logback-access-1.2.3.jar:./lib/jetty-security-8.1.16.v20140903.jar:./lib/jul-to-slf4j-1.7.25.jar:./lib/jetty-io-8.1.16.v20140903.jar:./lib/metrics-core-2.2.0.jar:./lib/javax.servlet-3.0.0.v201112011016.jar:./lib/jetty-xml-8.1.16.v20140903.jar:./lib/jetty-deploy-8.1.16.v20140903.jar:./lib/jetty-servlet-8.1.16.v20140903.jar:./lib/jetty-webapp-8.1.16.v20140903.jar:./lib/logback-classic-1.2.3.jar:./lib/jetty-http-8.1.16.v20140903.jar:./lib/logback-core-1.2.3.jar:./lib/jetty-rewrite-8.1.16.v20140903.jar:./lib/jetty-continuation-8.1.16.v20140903.jar:./lib/plexus-interpolation-1.16.jar:./lib/jetty-server-8.1.16.v20140903.jar:./lib/jetty-util-8.1.16.v20140903.jar:./lib/slf4j-api-1.7.25.jar:./lib/nexus-bootstrap-2.14.5-02.jar:./lib/metrics-logback-2.2.0.jar:./lib/jetty-jmx-8.1.16.v20140903.jar:./lib/metrics-jetty-2.2.0.jar:./conf/ -Dwrapper.key=rYKvbe_84jP0mQa3 -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=14098 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.service=TRUE -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1 org.sonatype.nexus.bootstrap.jsw.JswLauncher ./conf/jetty.xml ./conf/jetty-requestlog.xml
root     14533     2  0 Aug15 ?        00:00:00 [kworker/u2:2]
root     14687     2  0 Aug15 ?        00:00:04 [kworker/0:1H]
root     19808     2  0 Jul21 ?        00:00:16 [kworker/u2:0]
